"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","668","testing the logins for locked_out_user","firefox","Tue Mar 10 21:11:30 UTC 2026","passed","Tue Mar 10 21:11:30 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","1043","testing the logins for error_user","webkit","Tue Mar 10 21:11:55 UTC 2026","passed","Tue Mar 10 21:11:56 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","711","testing the logins for visual_user","firefox","Tue Mar 10 21:11:37 UTC 2026","passed","Tue Mar 10 21:11:38 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","751","testing the logins for error_user","firefox","Tue Mar 10 21:11:37 UTC 2026","passed","Tue Mar 10 21:11:37 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","1070","testing the logins for problem_user","webkit","Tue Mar 10 21:11:48 UTC 2026","passed","Tue Mar 10 21:11:49 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","1600","testing the logins for standard_user","firefox","Tue Mar 10 21:11:27 UTC 2026","passed","Tue Mar 10 21:11:29 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","606","testing the logins for error_user","chromium","Tue Mar 10 21:11:25 UTC 2026","passed","Tue Mar 10 21:11:26 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","715","testing the logins for problem_user","firefox","Tue Mar 10 21:11:30 UTC 2026","passed","Tue Mar 10 21:11:31 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","5660","testing the logins for performance_glitch_user","firefox","Tue Mar 10 21:11:31 UTC 2026","passed","Tue Mar 10 21:11:37 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","748","testing the logins for standard_user","chromium","Tue Mar 10 21:11:17 UTC 2026","passed","Tue Mar 10 21:11:18 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","927","testing the logins for locked_out_user","webkit","Tue Mar 10 21:11:47 UTC 2026","passed","Tue Mar 10 21:11:48 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","5834","testing the logins for performance_glitch_user","chromium","Tue Mar 10 21:11:19 UTC 2026","passed","Tue Mar 10 21:11:25 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","1085","testing the logins for visual_user","webkit","Tue Mar 10 21:11:56 UTC 2026","passed","Tue Mar 10 21:11:57 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","5538","testing the logins for standard_user","webkit","Tue Mar 10 21:11:40 UTC 2026","passed","Tue Mar 10 21:11:45 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","6145","testing the logins for performance_glitch_user","webkit","Tue Mar 10 21:11:49 UTC 2026","passed","Tue Mar 10 21:11:55 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","573","testing the logins for visual_user","chromium","Tue Mar 10 21:11:26 UTC 2026","passed","Tue Mar 10 21:11:26 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","570","testing the logins for problem_user","chromium","Tue Mar 10 21:11:19 UTC 2026","passed","Tue Mar 10 21:11:19 UTC 2026","data-driven Authentication","login.spec.ts","",""
"","470","testing the logins for locked_out_user","chromium","Tue Mar 10 21:11:18 UTC 2026","passed","Tue Mar 10 21:11:19 UTC 2026","data-driven Authentication","login.spec.ts","",""
